function,count
vec_new_from_linear_memory,2143
put_contract_data,2085
has_contract_data,2084
get_contract_data,2078
require_auth,2028
symbol_new_from_linear_memory,1955
map_new_from_linear_memory,1688
obj_from_i128_pieces,1657
call,1649
map_unpack_to_linear_memory,1577
obj_to_i128_hi64,1577
obj_to_i128_lo64,1577
bytes_len,1539
obj_cmp,1411
get_current_contract_address,1409
vec_len,1379
vec_new,1364
vec_get,1359
contract_event,1218
update_current_contract_wasm,1212
obj_to_u64,1152
extend_current_contract_instance_and_code_ttl,1114
obj_from_u64,1104
fail_with_error,1013
extend_contract_data_ttl,985
vec_push_back,948
get_ledger_timestamp,873
string_new_from_linear_memory,863
get_ledger_sequence,664
obj_from_u128_pieces,646
obj_to_u128_hi64,644
obj_to_u128_lo64,644
del_contract_data,639
bytes_new_from_linear_memory,567
vec_unpack_to_linear_memory,561
map_new,453
map_put,449
map_has,439
bytes_append,427
map_get,415
symbol_index_in_linear_memory,382
vec_first_index_of,355
authorize_as_curr_contract,349
serialize_to_bytes,348
bytes_new,343
bytes_slice,315
get_max_live_until_ledger,312
compute_hash_sha256,302
bytes_front,282
bytes_copy_to_linear_memory,239
strkey_to_address,219
u256_val_from_be_bytes,199
map_len,196
string_len,194
vec_del,191
try_call,190
vec_put,184
map_key_by_pos,161
map_val_by_pos,161
u256_val_to_be_bytes,160
vec_back,151
create_contract,150
u256_add,146
u256_div,143
u256_mul,143
map_del,138
compute_hash_keccak256,136
bytes_get,130
create_contract_with_constructor,123
vec_front,114
map_keys,108
obj_from_i64,86
require_auth_for_args,86
string_copy_to_linear_memory,86
u256_rem_euclid,79
bytes_copy_from_linear_memory,78
i256_val_from_be_bytes,78
i256_sub,77
i256_val_to_be_bytes,77
i256_div,76
i256_mul,75
u256_sub,74
i256_rem_euclid,72
vec_push_front,69
deserialize_from_bytes,65
obj_to_i64,65
address_to_strkey,61
bytes_push,61
bytes_put,60
verify_sig_ed25519,54
recover_key_ecdsa_secp256k1,53
vec_insert,46
prng_u64_in_inclusive_range,43
i256_add,42
get_contract_id,40
map_values,38
verify_sig_ecdsa_secp256r1,35
bls12_381_multi_pairing_check,31
vec_pop_front,31
bls12_381_g1_add,30
bls12_381_hash_to_g2,30
prng_bytes_new,30
vec_append,28
vec_binary_search,22
bn254_g1_add,20
bn254_g1_mul,20
bn254_multi_pairing_check,20
upload_wasm,20
log_from_linear_memory,18
string_to_bytes,18
u256_shl,16
get_address_executable,15
vec_pop_back,15
extend_contract_instance_and_code_ttl,14
u256_shr,12
get_address_from_muxed_address,8
get_id_from_muxed_address,8
poseidon2_permutation,8
vec_slice,8
create_asset_contract,7
extend_contract_code_ttl,6
extend_contract_instance_ttl,6
obj_from_u256_pieces,5
prng_reseed,5
prng_vec_shuffle,5
get_asset_contract_id,4
get_ledger_network_id,4
i256_pow,4
bytes_to_string,3
vec_last_index_of,3
bls12_381_hash_to_g1,2
bytes_back,2
u256_pow,2
bls12_381_g1_mul,1
